id;name;country_id;country_code;state_code;latitude;longitude
191;Nairobi;113;KE;110;-1.2920659;36.8219462
203;Nakuru District;113;KE;31;-0.3030988;36.080026
165;Nandi District;113;KE;32;0.1835867;35.1268781
175;Narok County;113;KE;33;-1.104111;36.0893406
162;North Eastern Province;113;KE;500;7.7853051;81.4278984
209;Nyamira District;113;KE;34;-0.5669405;34.9341234
192;Nyandarua County;113;KE;35;-0.1803855;36.5229641
204;Nyanza Province;113;KE;600;-0.0889894;34.7717912
180;Nyeri County;113;KE;36;-0.4196915;37.0400339
179;Rift Valley Province;113;KE;700;11.4098737;41.2808577
207;Samburu County;113;KE;37;1.2154506;36.954107
186;Siaya County;113;KE;38;-0.0617328;34.2421597
176;Taita–Taveta County;113;KE;39;-3.3160687;38.4849923
205;Tana River County;113;KE;40;-1.6518468;39.6518165
185;Tharaka Nithi County;113;KE;41;-0.2964851;37.7237678
183;Trans-Nzoia District;113;KE;42;1.0566667;34.9506625
206;Turkana County;113;KE;43;3.3122477;35.5657862
169;Uasin Gishu District;113;KE;44;0.5527638;35.3027226
202;Vihiga District;113;KE;45;0.0767553;34.7077665
182;Wajir County;113;KE;46;1.6360475;40.3088626
208;West Pokot County;113;KE;47;1.6210076;35.3905046
177;Western Province;113;KE;800;0;0
1831;Gilbert Islands;114;KI;G;0.3524262;174.7552634
1832;Line Islands;114;KI;L;1.7429439;-157.2132826
1830;Phoenix Islands;114;KI;P;33.3284369;-111.9824774
3998;Chagang Province;115;KP;04;40.7202809;126.5621137
3999;Kangwon Province;115;KP;07;38.8432393;127.5597067
3995;North Hamgyong Province;115;KP;09;41.8148758;129.4581955
4004;North Hwanghae Province;115;KP;06;38.3786085;126.4364363
4002;North Pyongan Province;115;KP;03;39.9255618;125.3928025
4005;Pyongyang;115;KP;01;39.0392193;125.7625241
4001;Rason;115;KP;13;42.2569063;130.2977186
3996;Ryanggang Province;115;KP;10;41.2318921;128.5076359
4000;South Hamgyong Province;115;KP;08;40.3725339;128.298884
4003;South Hwanghae Province;115;KP;05;38.2007215;125.4781926
3997;South Pyongan Province;115;KP;02;39.3539178;126.168271
3860;Busan;116;KR;26;35.1795543;129.0756416
3846;Daegu;116;KR;27;35.8714354;128.601445
3850;Daejeon;116;KR;30;36.3504119;127.3845475
3862;Gangwon Province;116;KR;42;37.8228;128.1555
3858;Gwangju;116;KR;29;35.1595454;126.8526012
3847;Gyeonggi Province;116;KR;41;37.4138;127.5183
3848;Incheon;116;KR;28;37.4562557;126.7052062
3853;Jeju;116;KR;49;33.9568278;-84.13135
3854;North Chungcheong Province;116;KR;43;36.8;127.7
3855;North Gyeongsang Province;116;KR;47;36.4919;128.8889
3851;North Jeolla Province;116;KR;45;35.7175;127.153
3861;Sejong City;116;KR;50;34.0523323;-118.3084897
3849;Seoul;116;KR;11;37.566535;126.9779692
3859;South Chungcheong Province;116;KR;44;36.5184;126.8
3857;South Gyeongsang Province;116;KR;48;35.4606;128.2132
3856;South Jeolla Province;116;KR;46;34.8679;126.991
3852;Ulsan;116;KR;31;35.5383773;129.3113596
4876;Đakovica District (Gjakove);248;XK;XDG;42.4375756;20.3785438
4877;Gjilan District;248;XK;XGJ;42.4635206;21.4694011
4878;Kosovska Mitrovica District;248;XK;XKM;42.8913909;20.8659995
3738;Peć District;248;XK;XPE;42.6592155;20.2887624
4879;Pristina (Priştine);248;XK;XPI;42.6629138;21.1655028
3723;Prizren District;248;XK;XPR;42.2152522;20.7414772
4874;Uroševac District (Ferizaj);248;XK;XUF;42.3701844;21.1483281
977;Al Ahmadi Governorate;117;KW;AH;28.5745125;48.1024743
975;Al Farwaniyah Governorate;117;KW;FA;29.273357;47.9400154
972;Al Jahra Governorate;117;KW;JA;29.9931831;47.7634731
976;Capital Governorate;117;KW;KU;26.2285161;50.5860497
973;Hawalli Governorate;117;KW;HA;29.3056716;48.0307613
974;Mubarak Al-Kabeer Governorate;117;KW;MU;29.21224;48.0605108
998;Batken Region;118;KG;B;39.9721425;69.8597406
1001;Bishkek;118;KG;GB;42.8746212;74.5697617
1004;Chuy Region;118;KG;C;42.5655;74.4056612
1002;Issyk-Kul Region;118;KG;Y;42.1859428;77.5619419
1000;Jalal-Abad Region;118;KG;J;41.106808;72.8988069
999;Naryn Region;118;KG;N;41.2943227;75.3412179
1003;Osh;118;KG;GO;36.0631399;-95.9182895
1005;Osh Region;118;KG;O;39.8407366;72.8988069
997;Talas Region;118;KG;T;42.2867339;72.5204827
982;Attapeu Province;119;LA;AT;14.93634;107.1011931
991;Bokeo Province;119;LA;BK;20.2872662;100.7097867
985;Bolikhamsai Province;119;LA;BL;18.4362924;104.4723301
996;Champasak Province;119;LA;CH;14.6578664;105.9699878
989;Houaphanh Province;119;LA;HO;20.3254175;104.1001326
986;Khammouane Province;119;LA;KH;17.6384066;105.2194808
992;Luang Namtha Province;119;LA;LM;20.9170187;101.1617356
978;Luang Prabang Province;119;LA;LP;20.0656229;102.6216211
988;Oudomxay Province;119;LA;OU;20.4921929;101.8891721
987;Phongsaly Province;119;LA;PH;21.5919377;102.2547919
