,firstSeen,askPrice,isNew,color,brandName,modelName,vf_Seats,vf_WheelBaseShort,vf_Wheels,vf_Windows
3,2019-05-06,12387,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.3,4,4
20,2019-05-07,16671,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.7,4,4
43,2019-05-07,12959,False,Mosaic Black Metallic,CHEVROLET,Cruze,5,106.3,4,4
109,2019-05-11,15900,False,Summit White,CHEVROLET,Impala,5,111.7,4,4
118,2019-05-13,12998,False,Mosaic Black Metallic,CHEVROLET,Sonic,5,99.4,4,4
141,2019-05-11,15999,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.7,4,4
202,2019-05-10,19221,False,Blue Velvet Metallic,CHEVROLET,Impala,5,111.70,4,4
228,2019-06-16,12975,False,Graphite Metallic,CHEVROLET,Cruze,5,106.3,4,4
242,2019-06-16,12875,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.3,4,4
266,2019-06-22,12925,False,Graphite Metallic,CHEVROLET,Cruze,5,106.3,4,4
293,2019-06-16,12988,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.3,4,4
310,2019-06-16,12861,False,Summit White,CHEVROLET,Cruze,5,106.3,4,4
367,2019-06-30,12994,False,Nightfall Gray Metallic,CHEVROLET,Cruze,5,106.3,4,6
491,2019-06-16,13176,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
495,2019-06-16,12896,False,Summit White,CHEVROLET,Cruze,5,106.3,4,4
579,2019-06-16,12898,False,Summit White,CHEVROLET,Cruze,5,106.3,4,4
651,2019-08-31,15997,False,Summit White,CHEVROLET,Impala,5,111.7,4,4
846,2019-10-06,11574,False,Summit White,CHEVROLET,Cruze,5,106.3,4,4
883,2019-10-18,11989,False,Graphite Metallic,CHEVROLET,Cruze,5,106.3,4,4
898,2019-08-07,17985,False,Mosaic Black Metallic,CHEVROLET,Impala,5,111.70,4,4
1006,2019-11-29,10798,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
1149,2017-11-22,11998,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.7,4,4
1249,2019-12-25,12835,False,Summit White,BUICK,Regal,5,111.4,4,6
1336,2019-12-26,13998,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.7,4,4
1447,2020-02-15,15539,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.70,4,4
1492,2020-04-09,10996,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
1584,2020-05-03,8482,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
1598,2020-05-03,8481,False,Graphite Metallic,CHEVROLET,Cruze,5,106.3,4,4
1599,2020-05-07,11283,False,Red Hot,CHEVROLET,Cruze,5,106.30,4,4
1649,2020-05-10,10948,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,4
1651,2020-05-16,14887,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.70,4,4
1654,2020-05-10,13727,False,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.40,4,4
1676,2020-05-06,13736,False,Shadow Gray Metallic,CHEVROLET,Malibu,5,111.40,4,4
1687,2020-05-28,12522,False,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
1698,2020-05-28,14638,False,Summit White,CHEVROLET,Impala,5,111.70,4,4
1738,2018-06-01,0,False,Cajun Red Tintcoat,CHEVROLET,Malibu,5,111.4,4,4
2226,2017-10-01,30462,False,Summit White,BUICK,LaCrosse,5,114.4,4,4
3374,2018-09-28,16962,False,Mosaic Black Metallic,CHEVROLET,Malibu,5,111.4,4,4
